Plant_Tau[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
50,0.036385,0.016206,0.168659,0.290238,0.102012,1.667526
100,0.096507,0.043171,0.392638,0.671083,0.266974,2.840463
150,0.170070,0.084607,0.589058,1.058850,0.506360,3.588758
200,0.260035,0.149866,0.765029,1.476205,0.848262,4.535079
