CMD_Delay[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
50,0.040287,0.016668,0.212406,0.378079,0.115892,2.874409
100,0.130807,0.050918,0.597088,1.174230,0.432062,5.493502
150,0.513368,0.413095,1.326591,4.264140,3.492142,10.092097
200,24.275268,14.847807,83.899786,174.593272,106.060972,717.140914
