Cmd_Delay[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
0.0,0.097484,0.043558,0.399186,0.677309,0.269101,2.874027
40.0,0.163456,0.075158,0.612567,1.159196,0.515881,4.244785
