Tau[ms],InvComp,Gain,Alt_RMSE[km],Alt_MAE[km],Alt_MaxErr[km],Vel_RMSE[km/s],Vel_MAE[km/s],Vel_MaxErr[km/s],SMA_RMSE[km],Ecc_RMSE
100,True,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,False,100,14316.623869,9788.651574,28505.383860,16.259763,12.291188,29.945278,18105.813620,0.002427
