Plant_Tau[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
50,0.037923,0.016533,0.181321,0.302421,0.104319,1.761391
100,0.097484,0.043558,0.399186,0.677309,0.269101,2.874027
150,0.170866,0.085084,0.593514,1.063338,0.508491,3.604884
200,0.260777,0.150359,0.768408,1.480002,0.850565,4.545240
