Plant_Tau[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
50,0.081370,0.054120,0.260756,0.286818,0.118595,1.677591
100,0.186585,0.126855,0.574789,0.578458,0.263337,2.860757
150,0.283932,0.197722,0.837125,0.797468,0.386761,3.585028
200,0.373531,0.265923,1.058281,0.968705,0.492704,4.091910
50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
