Tau[s],InvComp,Gain,RelDist_RMSE[m],RelDist_MAE[m],RelDist_MaxErr[m],RelX_RMSE[m],RelY_RMSE[m],RelZ_RMSE[m],Thrust_RMSE[N]
100,True,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,False,100,19.519090,8.748462,107.045652,18.488679,18.879133,10.294094,3.216275
