Plant_Tau[ms],Pos_RMSE[m],Pos_MAE[m],Pos_MaxErr[m],Vel_RMSE[m/s],Vel_MAE[m/s],Vel_MaxErr[m/s]
50,0.004106,0.002689,0.013494,0.017020,0.006109,0.133618
100,0.002061,0.001349,0.006804,0.008363,0.003078,0.061366
150,0.001414,0.000927,0.004657,0.005625,0.002108,0.039829
200,0.001086,0.000713,0.003564,0.004256,0.001614,0.029482
